"","...1","assigned_to","nr","extractors_first_name","extractors_last_name","preprint_id","preprint_doi.x","preprint_title.x","submitting_author.x","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","current_version.x","data_link_article","code_link_article","publisher_doi.x","preprint_published_date","total_authors.x","time_between_preprint_and_pub_days","postprint","plants","algi","fungi","microorganisms","invertebrates","vertebrates","type_of_preprint","data_link_preprint_cleaned","code_link_preprint_cleaned","data_link_article_cleaned","code_link_article_cleaned","check_completed","check_comment","doi.1","journal_name","is_oa","oa_status","preprint_title.y","preprint_doi.y","publisher_doi.y","reuse_licence","submitted_date","accepted_date","published_date","update_date","current_version.y","version_date","submitting_author.y","authors_list","total_authors.y"
"11",11,"saeed shafiei sabet",11,"rafaela","almeida",5626,"https://doi.org/10.32942/x2jw29","helicat canada’s wildlife observations program: trends and findings 2012-2022","steven foster wilson","canada",2023,"vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,1,"reviews and meta-analyses","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"HeliCat Canada’s Wildlife Observations Program: Trends and Findings 2012-2022","https://doi.org/10.32942/X2JW29",NA,"CC BY-ND 4.0",2023-06-30,2023-07-01,2023-06-30,NA,1,2023-07-01,"Steven Foster Wilson","Steven Foster Wilson",1
"12",12,"saeed shafiei sabet",12,"rafaela","almeida",5594,"https://doi.org/10.32942/x2f60q","measuring the 3-30-300 rule to help cities meet nature access thresholds","dexter h locke","united states of america",2011,"plants, conceptual","none","none",0,"no","https://doi.org/10.1016/j.scitotenv.2023.167739","science of the total environment",2023-10-11,"no",2,4,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Measuring the 3-30-300 Rule to Help Cities Meet Nature Access Thresholds","https://doi.org/10.32942/X2F60Q",NA,"CC BY 4.0",2023-06-26,2023-07-02,2023-07-02,NA,3,2023-07-02,"Dexter H Locke","Matthew Browning, Dexter H Locke, Cecil Konijnendijk, S M Labib, Alessandro Rigolon, Ray Yeager, Mondira Bardhan, Adam Berland, Payam Dadvand, Marco Helbich, Fu Li, Hanson Li, Peter James, Jochem Klompmaker, Aaron Reuben, Lara Roman, Wei-Lun Tsai, Muhammad Mainuddin Patwary, Jarlath O'Neil-Dunne, Alessandro Ossola, Ruoyu Wang, Boyi Yang, Li Yi, Jinguang Zhang, Mark Nieuwenhuijsen",25
"13",13,"saeed shafiei sabet",13,"rafaela","almeida",5614,"https://doi.org/10.32942/x2tc7h","coining one currency for nature","joseph millard","united kingdom",2019,"conceptual",NA,NA,0,"no",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes","I think maybe the title needs to be: Mobilisingcentral bank digital currencyto bend the curve of biodiversity loss Based on the Preprint id: 5614. Coining one currency for nature was the title for the first stored draft of the manuscript. What should we do so? It has been also stored as : https://osf.io/preprints/j7phu/",NA,NA,NA,NA,"Coining one currency for nature","https://doi.org/10.32942/X2TC7H",NA,"CC BY-NC 4.0",2023-06-29,2023-07-02,2023-07-02,NA,4,2023-07-02,"Joseph Millard","Joseph Millard",1
"14",14,"saeed shafiei sabet",14,"rafaela","almeida",5159,"https://doi.org/10.32942/x2q305","biogeographical distributions of trickster animals","shota shibasaki","united states of america",2017,"invertebrates, vertebrates","none","https://github.com/shotashibasaki/distributiontrickster.",0,"no",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"research article","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Biogeographical distributions of trickster animals","https://doi.org/10.32942/X2Q305",NA,"CC BY 4.0",2023-03-15,2023-07-04,2023-07-03,NA,3,2023-07-04,"Shota Shibasaki","Shota Shibasaki, Ryosuke Nakadai, Yo Nakawake",3
"15",15,"saeed shafiei sabet",15,"rafaela","almeida",5632,"https://doi.org/10.32942/x29c7v","prevalence and potential evolutionary significance of color mutations in freshwater crayfish (decapoda: astacidea)","zackary a graham","united states of america",2019,"invertebrates","none","none",1,"no","https://doi.org/10.1093/jcbiol/ruad054","journal of crustacean biology",2023-09-22,"no",0,1,"none","none",NA,NA,NA,NA,"preprint",0,0,0,0,1,0,"research article","yes","no","yes","no","yes",NA,NA,NA,NA,NA,"Prevalence and Potential Evolutionary Significance of Color Mutations in Freshwater Crayfish (Decapoda: Astacidea)","https://doi.org/10.32942/X29C7V",NA,"CC BY 4.0",2023-07-03,2023-07-03,2023-07-03,NA,1,2023-07-03,"Zackary A Graham","Zackary A Graham",1
"16",16,"saeed shafiei sabet",16,"rafaela","almeida",5633,"https://doi.org/10.32942/x25p5z","measuring historical pollution: natural history collections as tools for public health and environmental justice research","shane dubay","united states of america",2011,"vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,1,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Measuring historical pollution: natural history collections as tools for public health and environmental justice research","https://doi.org/10.32942/X25P5Z",NA,"CC BY-NC-ND 4.0",2023-07-03,2023-07-03,2023-07-03,NA,1,2023-07-03,"Shane DuBay","Shane DuBay, Brian C Weeks, Pamela E Davis-Kean, Carl Fuldner, Nyeema C Harris, Sara Hughes, Bruce O'Brien, Marie Perkins, Cheryl Weyant",9
"17",17,"saeed shafiei sabet",17,"rafaela","almeida",5638,"https://doi.org/10.32942/x21w2n","extinction drives recent thermophilization but does not trigger homogenization in forest understory","jeremy borderieux","france",2021,"plants","https://inventaire-forestier.ign.fr","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Extinction drives recent thermophilization but does not trigger homogenization in forest understory","https://doi.org/10.32942/X21W2N",NA,"CC BY 4.0",2023-07-04,2023-07-04,2023-07-04,NA,1,2023-07-04,"Jeremy Borderieux","Jeremy Borderieux, Jean-Claude Gégout, Josep M Serra-Diaz",3
"18",18,"saeed shafiei sabet",18,"rafaela","almeida",5639,"https://doi.org/10.32942/x2x602","computationally reproducing results from meta-analyses in ecology and evolutionary biology using shared code and data","steven kambouris","australia",2018,"conceptual","https://doi.org/10.5281/zenodo.8114702","https://doi.org/10.5281/zenodo.8114702",1,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"research article","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Computationally reproducing results from meta-analyses in Ecology and Evolutionary Biology using shared code and data","https://doi.org/10.32942/X2X602",NA,"CC BY 4.0",2023-07-04,2023-07-04,2023-07-04,NA,1,2023-07-04,"Steven Kambouris","Steven Kambouris, David P. Wilkinson, Eden T. Smith, Fiona Fidler",4
"19",19,"saeed shafiei sabet",19,"rafaela","almeida",5640,"https://doi.org/10.32942/x2sc76","regenerating tropical forests are consistently affected by biological invasions across spatial scales","juliano zardetto","brazil",2023,"plants","https://doi.org/10.5281/zenodo.8111724","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","yes","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Regenerating tropical forests are consistently affected by biological invasions across spatial scales","https://doi.org/10.32942/X2SC76",NA,"CC BY-NC-ND 4.0",2023-07-04,2023-07-04,2023-07-04,NA,1,2023-07-04,"Juliano Zardetto","Juliano Zardetto, Tadeu Siqueira",2
"20",20,"saeed shafiei sabet",20,"rafaela","almeida",5644,"https://doi.org/10.32942/x2np59","habitat suitability maps for australian flora and fauna under cmip6 climate scenarios","carla leigh archibald","australia",2016,"plants, vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,1,"research article","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Habitat suitability maps for Australian flora and fauna under CMIP6 climate scenarios","https://doi.org/10.32942/X2NP59",NA,"CC BY 4.0",2023-07-05,2023-07-05,2023-07-05,NA,1,2023-07-05,"Carla Leigh Archibald","Carla Leigh Archibald, David M Summers, Erin M Graham, Brett A. Bryan",4
"21",21,"saeed shafiei sabet",21,"rafaela","almeida",5646,"https://doi.org/10.32942/x2hw20","precipitation predictability drives evolution of drought tolerance in papaver rhoeas","martí march-salas","germany",2018,"plants","none","none",0,"no","https://doi.org/10.1111/1365-2435.14456","functional ecology",2023-10-23,NA,0,1,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","no","no","yes","no","yes",NA,NA,NA,NA,NA,"Precipitation predictability drives evolution of drought tolerance in Papaver rhoeas","https://doi.org/10.32942/X2HW20",NA,"No CC license",2023-07-05,2023-07-06,2023-07-06,NA,1,2023-07-06,"Martí March-Salas","Katja Springer, Thibault Coquery, Vera Holland, Patrick S. Fitze, J F Scheepens, Martí March-Salas",6
"22",22,"saeed shafiei sabet",22,"rafaela","almeida",5665,"https://doi.org/10.32942/x2d60d","reviewing the role of urbanisation in facilitating the  introduction and establishment of invasive animal species","eugenio carlon","italy",2023,"invertebrates, vertebrates",NA,NA,0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Reviewing the role of urbanisation in facilitating the  introduction and establishment of Invasive Animal Species","https://doi.org/10.32942/X2D60D",NA,"CC BY-ND 4.0",2023-07-09,2023-07-09,2023-07-09,NA,1,2023-07-09,"Eugenio Carlon","Eugenio Carlon, Davide Michelangelo Dominoni",2
"23",23,"saeed shafiei sabet",23,"rafaela","almeida",5667,"https://doi.org/10.32942/x28c8x","when to monitor or control; informed invasive species management using a partially observable markov decision process (pomdp) framework","thomas krishna waring","australia",2023,"conceptual","https://github.com/thomaskwaring/to-monitor-or-control","https://github.com/thomaskwaring/to-monitor-or-control",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"research article","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"When to monitor or control; informed invasive species management using a partially observable Markov decision process (POMDP) framework","https://doi.org/10.32942/X28C8X",NA,"CC BY 4.0",2023-07-09,2023-07-11,2023-07-10,NA,1,2023-07-11,"Thomas Krishna Waring","Thomas Krishna Waring, Vera Somers, Michael McCarthy, Chris Baker",4
"24",24,"saeed shafiei sabet",24,"rafaela","almeida",5668,"https://doi.org/10.32942/x24p48","higher internal stem damage in dry compared to wet tropics: where are we overestimating forest biomass?","habacuc flores-moreno","united states of america",2007,"plants","none","none",1,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,0,0,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Higher internal stem damage in dry compared to wet tropics: where are we overestimating forest biomass?","https://doi.org/10.32942/X24P48",NA,"CC BY 4.0",2023-07-10,2023-07-11,2023-07-10,NA,1,2023-07-11,"Habacuc Flores-Moreno","Habacuc Flores-Moreno, Abbey R Yatsko, Alexander W Cheeseman, Steven D Allison, Lucas A Cernusak, Rose Cheney, Rebecca Clement, Wendy Cooper, Paul Eggleton, Rigel Jensen, Marc Rosenfield, Amy E Zanne",12
"25",25,"saeed shafiei sabet",25,"rafaela","almeida",5672,"https://doi.org/10.32942/x20w3q","building a portuguese coalition for biodiversity genomics","joão pedro marques","portugal",2015,"plants, invertebrates, vertebrates",NA,NA,0,"yes",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"preprint",1,0,0,0,1,1,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Building a Portuguese Coalition for Biodiversity Genomics","https://doi.org/10.32942/X20W3Q",NA,"CC BY-NC 4.0",2023-07-10,2023-07-11,2023-07-10,NA,1,2023-07-11,"João Pedro Marques","João Pedro Marques, Paulo Célio Alves, Isabel R. Amorim, Ricardo J. Lopes, Mónica Moura, Gene Meyers, Manuela Sim-Sim, Carla Sousa-Santos, Maria Judite Alves, Paulo AV Borges, Thomas Brown, Miguel Carneiro, Carlos Carrapato, Luís MP Ceríaco, Claudio Ciofi, Luís P da Silva, Genevieve Diedericks, Maria Angela Diroma, Liliana Farelo, Giulio Formenti, Fátima Gil, Miguel Grilo, Alessio Ianucci, Henrique Leitão, Cristina Máguas, Ann M. Mc Cartney, Sofia L. Mendes, João M. Moreno, Marco Morselli, Alice Mouton, Chiara Natali, Fernando Pereira, Rúben Rego, Roberto Resendes, Guilherme Roxo, Hannes Svardal, Helena Trindade, Sara Vicente, Sylke Winkler, Marcela Alvarenga, Andreia J. Amaral, Agostinho Antunes, Paula F. Campos, Adelino V.M. Canário, Rita Castilho, L. Filipe C. Castro, Angelica Crottini, Mónica V. Cunha, Gonçalo E. Themudo, Pedro J. Esteves, Rui Faria, Carlos Rodríguez Fernandes, Jean-Baptiste Ledoux, Bruno Louro, Sara Magalhães, Octávio S. Paulo, Gareth A. Pearson, João Pimenta, Francisco Pina-Martins, Teresa L. Santos, Ester Serrão, José Melo-Ferreira, Vítor C. Sousa",63
"26",26,"saeed shafiei sabet",26,"kevin","bairos-novak",4414,"https://doi.org/10.32942/osf.io/vt67s","behavioral modification of eastern hoolock gibbon in non-protected fragmented rainforest patches of north eastern himalayas","amitava aich","india",2020,"vertebrates","none","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,2019-12-07,3,NA,"preprint",0,0,0,0,0,1,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Behavioral Modification of Eastern Hoolock Gibbon in Non-Protected Fragmented Rainforest Patches of North Eastern Himalayas","https://doi.org/10.32942/osf.io/vt67s",NA,"CC BY-SA 4.0",2019-12-06,2019-12-07,2019-12-07,2019-12-07,1,2019-12-06,"Amitava Aich","Amitava Aich, Dipayan Dey, Arindam Roy",3
"27",27,"saeed shafiei sabet",27,"kevin","bairos-novak",4377,"https://doi.org/10.32942/osf.io/q7gy6","the quest for absolute abundance: the use of internal standards for dna-based microbial and community ecology","joshua harrison","united states of america",2015,"microorganisms",NA,NA,4,"no","https://doi.org/10.1111/1755-0998.13247","Molecular Ecology Resources",2020-09-05,"no",47,2,NA,NA,NA,2020-03-26,4,163,"preprint",0,0,0,1,0,0,"methods papers","no","no","no","no","yes",NA,NA,NA,NA,NA,"The quest for absolute abundance: the use of internal standards for DNA-based microbial and community ecology","https://doi.org/10.32942/osf.io/q7gy6",NA,"CC BY-SA 4.0",2020-03-26,2020-03-26,2020-03-26,2020-07-31,2,2020-07-31,"Joshua Harrison","Joshua Harrison, W. John Calder, Bryan N Shuman, C. Alex Buerkle",4
"28",28,"saeed shafiei sabet",28,"kevin","bairos-novak",4376,"https://doi.org/10.32942/osf.io/mr6pn","on the inadequacy of species distribution models for modelling the spread of sars-cov-2: response to araújo and naimi","joseph daniel chipperfield","norway",2016,"microorganisms","none","https://osf.io/mu2zg/",19,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,2020-03-28,5,NA,"preprint",0,0,0,1,0,0,"comment","no","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"On the inadequacy of species distribution models for modelling the spread of SARS-CoV-2: response to Araújo and Naimi","https://doi.org/10.32942/osf.io/mr6pn",NA,"CC BY-SA 4.0",2020-03-28,2020-03-28,2020-03-28,2020-03-28,1,2020-03-28,"Joseph Daniel Chipperfield","Joseph Daniel Chipperfield, Blas M. Benito, Robert O'Hara, Richard James Telford, Colin J. Carlson",5
"29",29,"saeed shafiei sabet",29,"kevin","bairos-novak",4375,"https://doi.org/10.32942/osf.io/6yf4u","evolutionary consequences of epigenetically induced phenotypic switching","dragan stajic","portugal",2019,"theoretical evolutionary biology - applies to all?",NA,NA,1,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,2020-04-01,2,NA,"preprint",0,0,0,0,0,0,"book chapter","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Evolutionary consequences of epigenetically induced phenotypic switching","https://doi.org/10.32942/osf.io/6yf4u",NA,"CC BY-SA 4.0",2020-04-01,2020-04-01,2020-04-01,2020-07-01,2,2020-07-01,"Dragan Stajic","Dragan Stajic, Claudia Bank",2
"30",30,"saeed shafiei sabet",30,"kevin","bairos-novak",4374,"https://doi.org/10.32942/osf.io/tfm5y","the “intestines of the soil”: the taxonomic and functional diversity of earthworms – a review for young ecologists","nico eisenhauer","germany",2007,"invertebrates",NA,NA,7,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,2020-04-02,2,NA,"preprint",0,0,0,0,1,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"The “intestines of the soil”: the taxonomic and functional diversity of earthworms – a review for young ecologists","https://doi.org/10.32942/osf.io/tfm5y",NA,"CC BY-SA 4.0",2020-04-02,2020-04-02,2020-04-02,2020-04-02,2,2020-04-02,"Nico Eisenhauer","Nico Eisenhauer, Elina Eisenhauer",2
"31",31,"saeed shafiei sabet",31,"kevin","bairos-novak",4369,"https://doi.org/10.32942/osf.io/fytka","survival and cause-specific mortality of harvested willow ptarmigan (lagopus lagopus) in central norway","markus fjellstad israelsen","norway",2020,"vertebrates","https://github.com/markusfisra/willowptarmigansurvival---review","https://github.com/markusfisra/willowptarmigansurvival---review",0,"no","https://doi.org/10.1002/ece3.6754","ecology and evolution",2020-09-15,"no",10,2,"https://osf.io/yh9x8","https://osf.io/yh9x8","https://doi.org/10.1002/ece3.6754",2020-04-14,5,154,"preprint",0,0,0,0,0,1,"research article","yes","yes","yes","yes","yes",NA,"10.1002/ece3.6754","Ecology and Evolution",TRUE,"gold","Survival and cause-specific mortality of harvested willow ptarmigan (Lagopus lagopus) in central Norway","https://doi.org/10.32942/osf.io/fytka","https://doi.org/10.1002/ece3.6754","CC BY-SA 4.0",2020-04-14,2020-04-14,2020-04-14,2020-07-10,2,2020-07-10,"Markus Fjellstad Israelsen","Markus Fjellstad Israelsen, Lasse Frost Eriksen, Pål Fossland Moa, Bjørn Roar Hagen, Erlend Birkeland Nilsen",5
