"preprint_id","preprint_title","preprint_doi","publisher_doi","submitting_author","extractor_full_name","completed_yes_no_extractor","comment_by_extractor","checker_full_name","completed_yes_no_checker","comment_by_checker"
4525,"Visual-based male mate preference for conspecific females in mutually ornamented fish: possible importance of species recognition hypothesis","https://doi.org/10.32942/osf.io/3nyhm",NA,"Keisuke Atsumi","Nicholas Wu","Yes",NA,NA,NA,NA
4524,"Returning the Earth to Mankind and Mankind to Earth: an Ecosystemic Approach to Advocacy, Public Policies, Research and Teaching Programmes","https://doi.org/10.32942/osf.io/95wu4",NA,"André Francisco Pilon","Nicholas Wu","Yes",NA,NA,NA,NA
4523,"Dominance determines fish community biomass in a temperate seagrass ecosystem","https://doi.org/10.32942/osf.io/cqjvu","https://doi.org/10.1002/ece3.7854","Aaron Matthius Eger","Nicholas Wu","Yes",NA,NA,NA,NA
4522,"The more you get, the more you give: Positive cascading effects shape the evolutionary potential of prenatal maternal investment","https://doi.org/10.32942/osf.io/2hv47","https://doi.org/10.1002/evl3.125","Joel L Pick","Nicholas Wu","Yes",NA,NA,NA,NA
4521,"Steroid Receptors and Vertebrate Evolution","https://osf.io/6sqrf/","https://doi.org/10.1016/j.mce.2019.110526","Michael Baker","Nicholas Wu","Yes",NA,NA,NA,NA
4516,"Replication alert: behavioural lateralisation in a detour test is not repeatable in fishes","https://doi.org/10.32942/osf.io/6kcwa",NA,"Dominique Roche","Nicholas Wu","Yes",NA,NA,NA,NA
4517,"A comparative study of differential selection pressure over the nesting cycle in birds","https://doi.org/10.32942/osf.io/3p9jy",NA,"Gretchen F. Wagner","Nicholas Wu","Yes",NA,NA,NA,NA
4518,"Experimentally increased costs of parental care are shunted to offspring in species with extended care","https://doi.org/10.32942/osf.io/y8wx4",NA,"Gretchen F. Wagner","Nicholas Wu","Yes",NA,NA,NA,NA
4519,"Elevated nest predation risk promotes offspring size variation in birds with prolonged parental care.","https://doi.org/10.32942/osf.io/h2mpw",NA,"Gretchen F. Wagner","Nicholas Wu","Yes",NA,NA,NA,NA
4520,"No honesty in warning signals across life stages in an aposematic bug","https://doi.org/10.32942/osf.io/5vfqx","https://doi.org/10.1007/s10682-019-10025-0","Iliana Medina","Nicholas Wu","Yes",NA,NA,NA,NA
4514,"Be prudent if it fits you well: male mate choice depends on male size in a golden orb-weaver spider","https://doi.org/10.32942/osf.io/g3s4n","https://doi.org/10.1016/j.anbehav.2019.06.030","Pietro Pollo","Susan Everingham","Yes",NA,NA,NA,NA
4513,"Social genetic effects (IGE) and genetic intra- and intersexual genetic correlation contribute to the total heritable variance in parental care","https://doi.org/10.32942/osf.io/nh8m2",NA,"Julia Schroeder","Susan Everingham","Yes",NA,NA,NA,NA
4510,"Size-selective harvesting and individual personality in a social fish","https://doi.org/10.32942/osf.io/ze9nv","https://doi.org/10.1002/tafs.10160","Valerio Sbragaglia","Ricardo Correia","Yes",NA,NA,NA,NA
4511,"Seeing rare birds where there are none: self-rated expertise predicts correct species identification, but also more false rarities","https://doi.org/10.32942/osf.io/9z63v",NA,"Julia Schroeder","Ricardo Correia","Yes",NA,NA,NA,NA
4512,"Complexity revealed in the greening of the Arctic","https://doi.org/10.32942/osf.io/mzyjk","https://doi.org/10.1038/s41558-019-0688-1","Isla H. Myers-Smith","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4515,"Predation risk and social factors influence vigilance in a social bird species","https://doi.org/10.32942/osf.io/kdrvp",NA,"Mercedes Burgueño","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4508,"Ecosystem services networks: an accessible framework for decision-making","https://doi.org/10.32942/osf.io/f3zb9",NA,"Manu E. Saunders","Yefeng Yang","Yes",NA,NA,NA,NA
4509,"Does aggression towards rivals contribute to mate guarding in Drosophila melanogaster?","https://doi.org/10.32942/osf.io/nbhk4",NA,"Bodhisatta Nandy","Yefeng Yang","Yes",NA,NA,NA,NA
4507,"Ice-free area expansion compounds the non-native species threat to Antarctic terrestrial biodiversity","https://doi.org/10.32942/osf.io/fbzm5","https://doi.org/10.1016/j.biocon.2019.02.014","Grant Duffy","Yefeng Yang","Yes",NA,NA,NA,NA
4506,"Climate, human disturbance and geometric constraints drive the elevational richness pattern of birds in a biodiversity hotspot in south-western China","https://doi.org/10.32942/osf.io/5urks",NA,"Jianchao Liang","Yefeng Yang","Yes",NA,NA,NA,NA
4505,"Transcriptional Activation of Elephant Shark Mineralocorticoid Receptor by Corticosteroids, Progesterone and Spironolactone","https://doi.org/10.32942/osf.io/u56ar","https://doi.org/10.1126/scisignal.aar2668","Michael Baker","Yefeng Yang","Yes",NA,NA,NA,NA
4504,"Invasive species interact with climatic variability to reduce success of natives","https://doi.org/10.32942/osf.io/hqwk4","https://doi.org/10.1002/ecy.3022","Marina LaForgia","Yefeng Yang","Yes",NA,NA,NA,NA
4503,"Mapping and understanding the digital biodiversity knowledge about vertebrates in the Atlantic Rainforest","https://doi.org/10.32942/osf.io/c63vj",NA,"Gracielle Higino","Yefeng Yang","Yes",NA,NA,NA,NA
4502,"A continental measure of urbanness predicts avian response to local urbanization","https://doi.org/10.32942/osf.io/ky2hu","https://doi.org/10.1111/ecog.04863","Corey Thomas Callaghan","Yefeng Yang","Yes",NA,NA,NA,NA
4501,"Models of spatiotemporal variation in rabbit abundance reveal management hotspots for an invasive species","https://doi.org/10.32942/osf.io/gt8h5","https://doi.org/10.1002/eap.2083","Stuart C Brown","Yefeng Yang","Yes",NA,NA,NA,NA
4499,"Improving scientific impact: how to practice science that influences environmental policy and management","https://doi.org/10.32942/osf.io/u34b2","https://doi.org/10.1111/csp2.210","Jonathan Robert Brewster Fisher","Yefeng Yang","Yes",NA,NA,NA,NA
4498,"Lack of definition of mathematical terms in ecology: The case of the sigmoid class of functions in macro-ecology","https://doi.org/10.32942/osf.io/re4cf","https://doi.org/10.1002/ece3.7016","Ugoline Godeau","Yefeng Yang","Yes",NA,NA,NA,NA
4497,"Disentangling chronic regeneration failure in endangered woodland ecosystems","https://doi.org/10.32942/osf.io/342nc","https://doi.org/10.1002/ecs2.2998","Ami Bennett","Yefeng Yang","Yes",NA,NA,NA,NA
4494,"Forest management effects on survival of a long-lived bird","https://doi.org/10.32942/osf.io/fnbj7",NA,"Paul James Haverkamp","Susan Everingham","Yes",NA,NA,NA,NA
4495,"Exploratory and confirmatory research in the open science era","https://doi.org/10.32942/osf.io/75a6f","https://doi.org/10.1111/1365-2664.13571","Erlend Birkeland Nilsen","Matthew Grainger","Yes",NA,NA,NA,NA
4496,"A protocol for using drones to assist monitoring of large breeding bird colonies","https://doi.org/10.32942/osf.io/p9j3f",NA,"Mitchell Lyons","Iain Moodie","Yes",NA,NA,NA,NA
4492,"Heritability and maternal effects on social attention during an attention bias task in a non-human primate, Macaca mulatta","https://doi.org/10.32942/osf.io/5nzd4",NA,"Emily June Bethell","Iain Moodie","Yes",NA,NA,NA,NA
4493,"Open Access Principles and Practices Benefit Conservation","https://doi.org/10.32942/osf.io/7rt3u","https://doi.org/10.1111/conl.12672","Jesse Alston","Iain Moodie","Yes",NA,NA,NA,NA
4490,"Sexual Selection in Bacteria?","https://doi.org/10.32942/osf.io/9m2dy","https://doi.org/10.1016/j.tim.2019.07.009","Michiel Vos","Iain Moodie","Yes",NA,NA,NA,NA
4491,"Into the wild: microbiome transplant studies need broader ecological reality","https://doi.org/10.32942/osf.io/yka3z","https://doi.org/10.1098/rspb.2019.2834","Christopher J. Greyson-Gaito","Iain Moodie","Yes",NA,NA,NA,NA
4489,"The importance of individual-to-society feedbacks in animal ecology and evolution","https://doi.org/10.32942/osf.io/m62gb","https://doi.org/10.1111/1365-2656.13336","Kristina Beck","Iain Moodie","Yes",NA,NA,NA,NA
4488,"Replicating Natures Fabric - High Information Markets and the Sustainability of Global Seafood","https://doi.org/10.32942/osf.io/3vz2a","https://doi.org/10.1016/j.fooweb.2022.e00239","Timothy John Bartley","Iain Moodie","Yes",NA,NA,NA,NA
4487,"The role of selection and evolution in changing parturition date in a red deer population","https://doi.org/10.32942/osf.io/d4azb","https://doi.org/10.1371/journal.pbio.3000493","Timothée Bonnet","Iain Moodie","Yes",NA,NA,NA,NA
4486,"Phylogenetic Comparative Methods: Learning From Trees","https://doi.org/10.32942/osf.io/e3xnr",NA,"Luke Harmon","Iain Moodie","Yes",NA,NA,NA,NA
4485,"Beneath the surface: community assembly and functions of the coral skeleton microbiome","https://doi.org/10.32942/osf.io/9yjw8","https://doi.org/10.1186/s40168-019-0762-y","Heroen Verbruggen","Iain Moodie","Yes",NA,NA,NA,NA
4484,"Understanding the Evolution of Ecological Sex Differences: Integrating Character Displacement and the Darwin-Bateman Paradigm","https://doi.org/10.32942/osf.io/e2ahg","https://doi.org/10.1002/evl3.134","Stephen De Lisle","Iain Moodie","Yes",NA,NA,NA,NA
4483,"A future without stocking? The importance of harvest and river regulation for long-term population viability of migratory salmonids","https://doi.org/10.32942/osf.io/ds7u2","https://doi.org/10.3354/cr01644","Chloé Rebecca Nater","Iain Moodie","Yes",NA,NA,NA,NA
4482,"Transgenerational plasticity and bet-hedging: a framework for reaction norm evolution","https://doi.org/10.32942/osf.io/trg34","https://doi.org/10.3389/fevo.2020.517183","Jens Joschinski","April Robin Martinig","Yes",NA,NA,NA,NA
4481,"Does internal egg carrying impair foraging ability as much as external egg carrying in a neotropical spider?","https://doi.org/10.32942/osf.io/wdqvy",NA,"Pietro Pollo","April Robin Martinig","Yes",NA,NA,NA,NA
4480,"Little difference in average fish growth and maximum size across temperatures","https://doi.org/10.32942/osf.io/8cu4y","https://doi.org/10.1111/geb.13189","Daniël van Denderen","April Robin Martinig","Yes",NA,NA,NA,NA
4477,"Accurate forest projections require long-term wood decay experiments because trait effects change.","https://doi.org/10.32942/osf.io/bptma","https://doi.org/10.1111/gcb.14873","Brad Oberle","April Robin Martinig","Yes",NA,NA,NA,NA
4478,"On the importance of the megabiota to the functioning of the biosphere","https://doi.org/10.32942/osf.io/hn9xs",NA,"Brian Joseph Enquist","Pablo Recio","Yes",NA,NA,NA,NA
4479,"The ‘Holy Grail’ in Phylogenetic Reconstruction: Seeing the Forest for the Trees?","https://doi.org/10.32942/osf.io/b9mtn",NA,"Mark Alan Hershkovitz","Pablo Recio","Yes",NA,NA,NA,NA
4476,"New research frameworks in the study of chimpanzee and gorilla sociality and communication","https://doi.org/10.32942/osf.io/d8j3r",NA,"Sam G. B. Roberts","Pablo Recio","Yes",NA,NA,NA,NA
4475,"Communicative roots of complex sociality and cognition","https://doi.org/10.32942/osf.io/fk9b6","https://doi.org/10.1111/brv.12553","Anna Roberts","April Robin Martinig","Yes",NA,NA,NA,NA
4472,"Male age and its association with reproductive traits in captive and wild house sparrows","https://doi.org/10.32942/osf.io/v9rw8","https://doi.org/10.1111/jeb.13542","Antje Girndt","April Robin Martinig","Yes",NA,NA,NA,NA
4473,"Pet or pest? Stable isotope methods for the early detection of invasive alien species","https://doi.org/10.32942/osf.io/5dvcp",NA,"Katherine G W Hill","Pablo Recio","Yes",NA,NA,NA,NA
4474,"Toward a Pluralistic Conception of Resilience","https://doi.org/10.32942/osf.io/62zyh","https://doi.org/10.1016/j.ecolind.2019.105510","Matteo Convertino","April Robin Martinig","Yes",NA,NA,NA,NA
4471,"The Evolutionary Psychology of Scientific Publishing: Cost-Benefit Optimization of Players in the Game","https://doi.org/10.32942/osf.io/nvpe2",NA,"Milind Watve","Pablo Recio","Yes",NA,NA,NA,NA
4470,"Moving on from the insect apocalypse narrative: engaging with evidence-based insect conservation","https://doi.org/10.32942/osf.io/2cqws","https://doi.org/10.1093/biosci/biz143","Manu E. Saunders","April Robin Martinig","Yes",NA,NA,NA,NA
4469,"Resource allocation to growth or luxury consumption drives mycorrhizal responses","https://doi.org/10.32942/osf.io/s34bn","https://doi.org/10.1111/ele.13353","Rohan Riley","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4468,"Relationships between mycorrhizal type and leaf flammability in the Australian flora","https://doi.org/10.32942/osf.io/u7bhv","https://doi.org/10.1016/j.pedobi.2017.07.001","Jeff R Powell","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4465,"Experimentally altered rainfall regimes and host root traits affect grassland arbuscular mycorrhizal fungal communities","https://doi.org/10.32942/osf.io/cu4jh","https://doi.org/10.1111/mec.14536","Jeff R Powell","April Robin Martinig","Yes",NA,NA,NA,NA
4466,"Temporal dynamics of mycorrhizal fungal communities and co-associations with grassland plant communities following experimental manipulation of rainfall","https://doi.org/10.32942/osf.io/t82ug","https://doi.org/10.1111/1365-2745.13267","Jeff R Powell","April Robin Martinig","Yes",NA,NA,NA,NA
4467,"The hierarchy-of-hypotheses approach: A synthesis method for enhancing theory development in ecology and evolution","https://doi.org/10.32942/osf.io/6a85f","https://doi.org/10.1093/biosci/biaa130","Tina Heger","April Robin Martinig","Yes",NA,NA,NA,NA
4463,"Individual differences in behaviour explain variation in survival: a meta-analysis","https://doi.org/10.32942/osf.io/tz2v8","https://doi.org/10.1111/ele.13438","Maria Moiron","Antica Culina","Yes",NA,NA,NA,NA
4461,"Parental breeding age effects on descendants’ longevity interact over two generations in matrilines and patrilines","https://doi.org/10.32942/osf.io/mnx8h",NA,"Zac Wylde","Pablo Recio","Yes",NA,NA,NA,NA
4462,"Individual variation in thermal plasticity and its impact on mass-scaling","https://doi.org/10.32942/osf.io/g4z2e","https://doi.org/10.1111/oik.08122","Fonti Kar","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4464,"Mapping the dynamics of research networks in ecology and evolution using co-citation analysis (1975–2015)","https://doi.org/10.32942/osf.io/dpef4",NA,"Denis REALE","April Robin Martinig","Yes",NA,NA,NA,NA
4460,"Yeast lines selected for non-quiescence show increased protein content","https://doi.org/10.32942/osf.io/v5d6m",NA,"Dominika Wloch-Salamon","April Robin Martinig","Yes",NA,NA,NA,NA
4457,"Finding fungal ecological strategies: Is recycling an option?","https://doi.org/10.32942/osf.io/tkxj2","https://doi.org/10.1016/j.funeco.2019.100902","Amy E Zanne","April Robin Martinig","Yes",NA,NA,NA,NA
4458,"Fungal functional ecology: Bringing a trait-based approach to plant-associated fungi","https://doi.org/10.32942/osf.io/a7f6g","https://doi.org/10.1111/brv.12570","Amy E Zanne","April Robin Martinig","Yes",NA,NA,NA,NA
4459,"The commonness of rarity: Global and future distribution of rarity across land plants","https://doi.org/10.32942/osf.io/qfpa9","https://doi.org/10.1126/sciadv.aaz0414","Brian Joseph Enquist","Gavin Hossack","Yes",NA,NA,NA,NA
4456,"Optimising occupancy models and detection probability for conservation monitoring in a forest-dwelling small mammal","https://doi.org/10.32942/osf.io/a57zm",NA,"Fraser John Combe","Gavin Hossack","Yes",NA,NA,NA,NA
4455,"Social network node-based metrics can function as proxies for animal personality traits","https://doi.org/10.32942/osf.io/yvq9d",NA,"Mireia Plaza","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4454,"A Review of Peer-Review for Pedobiologia – Journal of Soil Ecology","https://doi.org/10.32942/osf.io/rd8jq","https://doi.org/10.1016/j.pedobi.2019.150588","Jeff R Powell","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4453,"Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier","https://doi.org/10.32942/osf.io/85ypg","https://doi.org/10.1016/j.gecco.2019.e00819","Rodolfo Luiz Bezerra Nóbrega","Gavin Hossack","Yes",NA,NA,NA,NA
4452,"How to build a biodiverse city: environmental determinants of bird diversity within and among 1,581 cities","https://doi.org/10.32942/osf.io/ur4fe",NA,"Corey Thomas Callaghan","Gavin Hossack","Yes",NA,NA,NA,NA
4451,"Helpers compensate for age-related declines in parental care and offspring survival in a cooperatively breeding bird","https://doi.org/10.32942/osf.io/vgzc7","https://doi.org/10.1002/evl3.213","Martijn Hammers","Gavin Hossack","Yes",NA,NA,NA,NA
4450,"Game of Tenure: the role of “hidden” citations on researchers’ ranking in Ecology","https://doi.org/10.32942/osf.io/u9x68","https://doi.org/10.21425/F5FBG45195","Ana Benítez-López","Gavin Hossack","Yes",NA,NA,NA,NA
4446,"Main carbon sources supporting primary and secondary production in a disturbed semiarid wetland from central Spain","https://doi.org/10.32942/osf.io/qgszc",NA,"Raul Ochoa-Hueso","Gavin Hossack","Yes",NA,NA,NA,NA
4447,"Effects of anthropogenic disturbance on 13C and 15N of aquatic plants from a semiarid wetland","https://doi.org/10.32942/osf.io/f9cwh",NA,"Raul Ochoa-Hueso","Gavin Hossack","Yes",NA,NA,NA,NA
4448,"Non-avian reptile learning 40 years on: advances and promising new directions","https://doi.org/10.32942/osf.io/esztp","https://doi.org/10.1111/brv.12658","Birgit Szabo","Kristoffer Wild","Yes",NA,NA,NA,NA
4449,"The Natural History of the Satellite Lakes of Lake Malawi","https://doi.org/10.32942/osf.io/sehdq",NA,"George Turner","Gavin Hossack","Yes",NA,NA,NA,NA
4445,"Endocrinology of thermoregulation in birds in a changing climate","https://doi.org/10.32942/osf.io/jzam3","https://doi.org/10.1016/j.mce.2020.111088","Suvi Ruuskanen","Antica Culina","Yes",NA,NA,NA,NA
4444,"Structure of past and present food webs from a semiarid wetland subjected to species invasion and environmental degradation","https://doi.org/10.32942/osf.io/dsqja",NA,"Raul Ochoa-Hueso","Antica Culina","Yes",NA,NA,NA,NA
4441,"Disentangling the role of shared ancestry and the environment on leaf stable isotopes","https://doi.org/10.32942/osf.io/mfhve",NA,"Marko J. Spasojevic","Yefeng Yang","Yes",NA,NA,NA,NA
4442,"Illustrating the importance of meta-analysing variances alongside means in ecology and evolution","https://doi.org/10.32942/osf.io/yhfvk","https://doi.org/10.1111/jeb.13661","Alfredo Sánchez-Tójar","Yefeng Yang","Yes",NA,NA,NA,NA
4443,"Egg predation on native fish by invasive round goby revealed by species-specific gut content DNA analyses","https://doi.org/10.32942/osf.io/9fpc5","https://doi.org/10.1002/aqc.3409","Karen Bussmann","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4440,"Survival and migration of rock ptarmigan in central Scandinavia","https://doi.org/10.32942/osf.io/2j3hw","https://doi.org/10.3389/fevo.2020.00034","Erlend Birkeland Nilsen","Yefeng Yang","Yes",NA,NA,NA,NA
4438,"Movement-mediated community assembly and coexistence","https://doi.org/10.32942/osf.io/d8a4m","https://doi.org/10.1111/brv.12600","Ulrike E Schlägel","Pablo Recio","Yes",NA,NA,NA,NA
4439,"Evidence synthesis for tackling research waste","https://doi.org/10.32942/osf.io/42fkh","https://doi.org/10.1038/s41559-020-1141-6","Matthew Grainger","Pablo Recio","Yes",NA,NA,NA,NA
4437,"Assessing symbiont extinction risk using cophylogenetic data","https://doi.org/10.32942/osf.io/ry9zm","https://doi.org/10.1016/j.biocon.2020.108705","Jorge Doña","Pablo Recio","Yes",NA,NA,NA,NA
4436,"Toward a metabolic theory of life history","https://doi.org/10.32942/osf.io/7gfbv","https://doi.org/10.1073/pnas.1907702116","Joseph Robert Burger","Kristoffer Wild","Yes",NA,NA,NA,NA
4435,"Embedding indigenous principles in genomic research of culturally significant species: a conservation genomics case study","https://doi.org/10.32942/osf.io/tj8sh","https://doi.org/10.20417/nzjecol.43.36","Levi Collier-Robinson","Ilha Byrne","Yes",NA,NA,NA,NA
4434,"Avian trait specialization is negatively associated with urban tolerance","https://doi.org/10.32942/osf.io/5kunv","https://doi.org/10.1111/oik.07356","Corey Thomas Callaghan","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4433,"The role of replication studies in ecology","https://doi.org/10.32942/osf.io/4cuwp","https://doi.org/10.1002/ece3.6330","Hannah Fraser","Ilha Byrne","Yes",NA,NA,NA,NA
4432,"The causes and consequences of ornament variation in a natural population","https://doi.org/10.32942/osf.io/89h65",NA,"Annabel Ralph","Ilha Byrne","Yes",NA,NA,NA,NA
4430,"Experimenting with the past to improve environmental monitoring programs","https://doi.org/10.32942/osf.io/cz5va","https://doi.org/10.3389/fevo.2020.572979","Easton R White","Ilha Byrne","Yes",NA,NA,NA,NA
4431,"Honey Bee Diversity Is Swayed by Migratory Beekeeping and Trade Despite Conservation Practices: Genetic Evidences for the Impact of Anthropogenic Factors on Population Structure","https://doi.org/10.32942/osf.io/k96fh","https://doi.org/10.3389/fevo.2021.556816","Mert Kükrer","Ilha Byrne","Yes","Preprint version is the same as publication",NA,NA,NA
4429,"The Price equation and the unity of social evolution theory","https://doi.org/10.32942/osf.io/9rx4h","https://doi.org/10.1098/rstb.2019.0362","Jussi Lehtonen","Ilha Byrne","Yes",NA,NA,NA,NA
4428,"Thermal ecology or interspecific competition: what drives the warm and cold distribution limits of mountain ectotherms?","https://doi.org/10.32942/osf.io/g8mwu",NA,"Octavio Jiménez-Robles","Ilha Byrne","Yes",NA,NA,NA,NA
4427,"Whither scientific debate? A rebuttal of “Contextualising UK moorland burning studies: geographical versus potential sponsorship-bias effects on research conclusions” by Brown and Holden (bioRxiv 2019; 731117)","https://doi.org/10.32942/osf.io/68h3w",NA,"Mark Andrew Ashby","Ilha Byrne","Yes","Critique/Comment",NA,NA,NA
4426,"Selection on reproductive plasticity in a wild population of blue tits, Cyanistes caeruleus","https://doi.org/10.32942/osf.io/crkdf","https://doi.org/10.1002/ece3.8582","Heung Ying Janet Chik","Ilha Byrne","Yes","No mention of data or code at all in either preprint or publication",NA,NA,NA
4425,"Decoupled morphological and biomechanical evolution and diversification of the wing in bats","https://doi.org/10.32942/osf.io/k3y5f",NA,"Camilo López-Aguirre","Ilha Byrne","Yes",NA,NA,NA,NA
4423,"Quantifying the autonomic response to stressors – one way to expand the definition of  ""stress"" in animals","https://doi.org/10.32942/osf.io/huxw6","https://doi.org/10.1093/icb/icaa009","Matt Gaidica","Ilha Byrne","Yes",NA,NA,NA,NA
4424,"Bryophyte cover and richness decline after 18 years of experimental warming in Alpine Sweden","https://doi.org/10.32942/osf.io/zrbqf","https://doi.org/10.1093/aobpla/plaa061","Juha M. Alatalo","Ilha Byrne","Yes",NA,NA,NA,NA
4422,"Ageing and senescence across reproductive traits and survival in superb fairy-wrens (Malurus cyaneus)","https://doi.org/10.32942/osf.io/uepxj",NA,"Eve Cooper","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4421,"The hidden value of trees: quantifying the ecosystem services of tree lineages and their major threats across the contiguous US","https://doi.org/10.32942/osf.io/gp7mt","https://doi.org/10.1371/journal.pstr.0000010","Jeannine Cavender-Bares","Samuel J. L. Gascoigne","Yes",NA,NA,NA,NA
4420,"Environmental effects on the covariation among pace-of-life traits","https://doi.org/10.32942/osf.io/8qavw","https://doi.org/10.1111/eth.13098","Anni Hämäläinen","Gavin Hossack","Yes",NA,NA,NA,NA
