,preprint_doi,preprint_id,preprint_title,publisher_doi,submitting_author,extractor_full_name,completed_yes_no_extractor,comment_by_extractor,checker_full_name,completed_yes_no_checker,comment_by_checker
22,https://doi.org/10.32942/osf.io/6an72,3969,Allogenous Selection of Mutational Collateral Resistance: Old Drugs Select for New Resistances Within Antibiotic Families,https://doi.org/10.3389/fmicb.2021.757833,Fernando Baquero,Susan Everingham,Yes,NA,NA,NA,NA
23,https://doi.org/10.32942/osf.io/ydrcm,3837,Foraging complexity and the evolution of childhood,https://doi.org/10.1126/sciadv.abn9889,Ilaria Pretelli,Knut Anders Hovstad,Yes,NA,NA,NA,NA
24,https://doi.org/10.32942/osf.io/83a7x,3679,Decoupled responses of biodiversity facets driven from anuran vulnerability to climate and land use changes,https://doi.org/10.1111/ele.14207,Karoline Ceron,Ineta Kačergytė,Yes,The DOI from preprint might be wrong,NA,NA,NA
25,https://doi.org/10.32942/osf.io/97nv6,3665,"Publication bias impacts on effect size, statistical power, and magnitude (Type M) and sign (Type S) errors in ecology and evolutionary biology",https://doi.org/10.1186/s12915-022-01485-y,Yefeng Yang,Ineta Kačergytė,Yes,NA,NA,NA,NA
26,https://doi.org/10.32942/osf.io/ny9v8,3650,"Open access research infrastructures are critical for sustained citizen science growth: a case study of Australia’s national biodiversity platform, the Atlas of Living Australia (ALA)",NA,Erin Roger,Knut Anders Hovstad,Yes,NA,NA,NA,NA
27,https://doi.org/10.32942/X25K5X,4797,Imagining Kant’s Theory of Scientific Knowledge: Philosophy and Education in Microbiology,https://doi.org/10.1007/s10123-022-00315-z,Fernando Baquero,Alexander Elsy,Yes,NA,NA,NA,NA
28,https://doi.org/10.32942/X2HP4P,4833,The impact of rising temperatures on the prevalence of coral diseases and its predictability: a global meta-analysis,https://doi.org/10.1111/ele.14266,Samantha Burke,Jake Martin,Yes,NA,NA,NA,NA
29,https://doi.org/10.32942/X2DG6F,5312,"Using Machine Learning to Link Climate, Phylogeny and Leaf Traits in Eucalypts Through a 50-fold Expansion of Current Leaf Trait Datasets",NA,Karina Guo,Gideon Deme,Yes,Not published,NA,NA,NA
30,https://doi.org/10.32942/X2P016,5354,Individualisation and Individualised Science: Integrating Disciplinary Perspectives,NA,Anton Killin,Gideon Deme,Yes,NA,NA,NA,NA
31,https://doi.org/10.32942/X2J59Q,5356,"Resolving large-scale genome evolution in the high-throughput sequencing era: structural variants, genome rearrangement, and karyotype dynamics in animals",NA,Célian Diblasi,Gideon Deme,Yes,NA,NA,NA,NA
32,https://doi.org/10.32942/X21600,5364,Uncovering the hidden niche: incorporating microclimate temperature into species distribution models,doi.org/10.1111/ele.14312,Stef Haesen,Gideon Deme,Yes,Title was changed in the published article,NA,NA,NA
33,https://doi.org/10.32942/X2501J,5365,Towards understanding the impact of mycorrhizal fungal environments on the functioning of terrestrial ecosystems.,NA,Olivier Nouwen,Gideon Deme,Yes,NA,NA,NA,NA
34,https://doi.org/10.32942/X2RP57,5368,iNaturalist is an open science resource for ecological genomics by enabling rapid and tractable records of initial observations of sequenced specimens,https://doi.org/10.1098/rsbl.2023.0251,Jay Keche Goldberg,Gideon Deme,Yes,Not a data paper,NA,NA,NA
35,https://doi.org/10.32942/X2WG6S,5372,Social media records hold valuable information for conservation planning,doi.org/10.1111/cobi.14161,Shawan Chowdhury,Gideon Deme,Yes,A slight title modification in the published article,NA,NA,NA
36,https://doi.org/10.32942/X28P4H,5373,The “faulty male” hypothesis: implications for evolution and disease,NA,Matthew Hahn,Gideon Deme,Yes,NA,NA,NA,NA
37,https://doi.org/10.32942/X2H882,5374,"Biogeochemistry of soils, sediments, and surface waters across the upland to wetland gradient of coastal interfaces",NA,Allison Myers-Pigg,Gideon Deme,Yes,NA,NA,NA,NA
38,https://doi.org/10.32942/X2CG64,5393,Implementing Code Review in the Scientific Workflow: Insights from Ecology and Evolutionary Biology,doi.org/10.1111/jeb.14230,Edward Richard Ivimey-Cook,Gideon Deme,Yes,Not a data paper,NA,NA,NA
39,https://doi.org/10.32942/X27S3V,5380,Body condition and background noise alter female responses to uni- and multimodal signals emitted by a male mimicking robot frog,NA,Vinicius Matheus Caldart,Gideon Deme,Yes,NA,NA,NA,NA
40,https://doi.org/10.32942/X2088D,5397,Spatially explicit Bayesian hierarchical models improve avian population status and trends,NA,Adam C Smith,Gideon Deme,Yes,NA,NA,NA,NA
41,https://doi.org/10.32942/X24017,5398,Functional components of biodiversity mediate stability of grasslands under extreme drought,NA,Manuele Bazzichetto,Gideon Deme,Yes,NA,NA,NA,NA
42,https://doi.org/10.32942/X2KK61,5836,On the trade-off between accuracy and spatial resolution when estimating species occupancy from biased samples,NA,Rob James Boyd,Jordann Crawford-Ash,Yes,NA,NA,NA,NA
43,https://doi.org/10.32942/X2XS4F,5854,A standard protocol for harvesting biodiversity data from Facebook,NA,Shawan Chowdhury,Jordann Crawford-Ash,Yes,NA,NA,NA,NA
